occurrence_id,source_url,source_page_title,source_page_approved_indexable_status,destination_gated_url,destination_page_title,anchor_text,component_data_source_or_content_location,link_type,generation_context,relevant_product_family,current_destination_status,closest_approved_url,current_permanent_disposition_status,likely_future_action,implementation_risk
STG01C-LINK-001,https://www.samanportable.com/product/container-houses,Container House Manufacturer in India | Modern Modular Homes | SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/container-houses/affordable-container-homes,Affordable Container Homes │ Pre-Built │ SAMAN,affordable container homes,Rendered main content; shared commercial template,shared-template,template-generated,container-houses,TEMPORARY_200_NOINDEX_FOLLOW,/product/container-houses,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-002,https://www.samanportable.com/product/container-houses,Container House Manufacturer in India | Modern Modular Homes | SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/container-houses/affordable-container-homes,Affordable Container Homes │ Pre-Built │ SAMAN,the fixed-plan affordable build,Rendered product card/grid; shared listing or commercial template,card,template-generated,container-houses,TEMPORARY_200_NOINDEX_FOLLOW,/product/container-houses,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-003,https://www.samanportable.com/product/container-houses,Container House Manufacturer in India | Modern Modular Homes | SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/container-houses/prefabricated-container-house,Prefabricated Container House │ Factory-Fitted │ SAMAN,the fully fitted route,Rendered product card/grid; shared listing or commercial template,card,template-generated,container-houses,TEMPORARY_200_NOINDEX_FOLLOW,/product/container-houses,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-004,https://www.samanportable.com/product/container-houses/luxury-container-houses,Luxury Container Houses │ Factory-Fitted Design │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/container-houses/affordable-container-homes,Affordable Container Homes │ Pre-Built │ SAMAN,one efficient plan per size,Rendered product card/grid; shared listing or commercial template,card,template-generated,container-houses,TEMPORARY_200_NOINDEX_FOLLOW,/product/container-houses,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-005,https://www.samanportable.com/product/container-houses/luxury-container-houses,Luxury Container Houses │ Factory-Fitted Design │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/container-houses/prefabricated-container-house,Prefabricated Container House │ Factory-Fitted │ SAMAN,delivered as a single completed unit,Rendered product card/grid; shared listing or commercial template,card,template-generated,container-houses,TEMPORARY_200_NOINDEX_FOLLOW,/product/container-houses,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-006,https://www.samanportable.com/product/container-houses/prefab-container-homes,Prefab Container Homes │ Configured Single & Colony │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/container-houses/affordable-container-homes,Affordable Container Homes │ Pre-Built │ SAMAN,"lowest rate in the range starts at ₹1,438 per sq ft",Rendered product card/grid; shared listing or commercial template,card,template-generated,container-houses,TEMPORARY_200_NOINDEX_FOLLOW,/product/container-houses,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-007,https://www.samanportable.com/product/container-houses/prefab-container-homes,Prefab Container Homes │ Configured Single & Colony │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/container-houses/prefabricated-container-house,Prefabricated Container House │ Factory-Fitted │ SAMAN,quoted on your drawing rather than sold from a ladder,Rendered product card/grid; shared listing or commercial template,card,template-generated,container-houses,TEMPORARY_200_NOINDEX_FOLLOW,/product/container-houses,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-008,https://www.samanportable.com/product/container-houses/shipping-container-homes,Shipping Container Homes India │ Custom-Built │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/container-houses/affordable-container-homes,Affordable Container Homes │ Pre-Built │ SAMAN,the lowest per-square-foot rate we publish,Rendered product card/grid; shared listing or commercial template,card,template-generated,container-houses,TEMPORARY_200_NOINDEX_FOLLOW,/product/container-houses,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-009,https://www.samanportable.com/product/container-houses/shipping-container-homes,Shipping Container Homes India │ Custom-Built │ SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/container-houses/prefabricated-container-house,Prefabricated Container House │ Factory-Fitted │ SAMAN,a unit that arrives finished and needs no site team at all,Rendered product card/grid; shared listing or commercial template,card,template-generated,container-houses,TEMPORARY_200_NOINDEX_FOLLOW,/product/container-houses,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-010,https://www.samanportable.com/product/eps-panel,EPS Panel Manufacturer in India | Sizes & Specs | SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/sandwich-panel,"Sandwich Panel Manufacturer in India, Types, Cores & Sizes | SAMAN",Sandwich Panels,Rendered navigation/header; shared Header template,navigation,template-generated,sandwich-panel,TEMPORARY_200_NOINDEX_FOLLOW,OWNER_MAPPING_REQUIRED,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,HIGH_SHARED_SURFACE
STG01C-LINK-011,https://www.samanportable.com/product/eps-panel,EPS Panel Manufacturer in India | Sizes & Specs | SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/sandwich-panel,"Sandwich Panel Manufacturer in India, Types, Cores & Sizes | SAMAN",Sandwich Panel Sandwich Panels View,Rendered related-product rail; shared commercial template,rail,template-generated,sandwich-panel,TEMPORARY_200_NOINDEX_FOLLOW,OWNER_MAPPING_REQUIRED,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-012,https://www.samanportable.com/product/eps-panel,EPS Panel Manufacturer in India | Sizes & Specs | SAMAN,APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/sandwich-panel,"Sandwich Panel Manufacturer in India, Types, Cores & Sizes | SAMAN",compare all five sandwich panel cores,Rendered product card/grid; shared listing or commercial template,card,template-generated,sandwich-panel,TEMPORARY_200_NOINDEX_FOLLOW,OWNER_MAPPING_REQUIRED,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-013,https://www.samanportable.com/product/glass-wool-panel,"Glass Wool Panel Manufacturer, Acoustic & Thermal Panels | SAMAN",APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/sandwich-panel,"Sandwich Panel Manufacturer in India, Types, Cores & Sizes | SAMAN",Sandwich Panel Sandwich Panels View,Rendered related-product rail; shared commercial template,rail,template-generated,sandwich-panel,TEMPORARY_200_NOINDEX_FOLLOW,OWNER_MAPPING_REQUIRED,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
STG01C-LINK-014,https://www.samanportable.com/product/glass-wool-panel,"Glass Wool Panel Manufacturer, Acoustic & Thermal Panels | SAMAN",APPROVED_LIVE_INDEXABLE,https://www.samanportable.com/product/sandwich-panel,"Sandwich Panel Manufacturer in India, Types, Cores & Sizes | SAMAN",compare every sandwich panel core we manufacture,Rendered product card/grid; shared listing or commercial template,card,template-generated,sandwich-panel,TEMPORARY_200_NOINDEX_FOLLOW,OWNER_MAPPING_REQUIRED,PENDING_OWNER_REVIEW,OWNER_DECISION_REQUIRED,MEDIUM_SHARED_TEMPLATE
